,식품명,식품대분류,식품상세분류,1회제공량,내용량_단위,에너지,탄수화물,총당류,지방,리놀레산,알파_리놀렌산,EPA+DHA,단백질,수분,총_식이섬유,비타민_A,비타민_D3,비타민_E,비타민:_C,비타민_B1,비타민_B2,나이아신,엽산,비타민_B12,칼슘,인,나트륨,칼륨,마그네슘,철,아연,구리,망간,셀레늄
0,닭갈비,구이류,육류구이,400.0,g,595.61,44.9,21.2,25.8,4.85,0.44,0.04,45.9,276.4,11.6,2171.98,0.0,6.86,5.54,0.24,0.37,1.23,108.13,1.12,98.64,505.25,1535.83,1200.24,104.42,0.003,3.55,0.34,0.97,57.56
1,닭갈비,구이류,육류구이,300.0,g,558.47,23.1,8.5,31.6,5.43,0.39,0.07,45.5,195.4,6.6,568.89,0.0,3.81,0.0,0.22,0.38,2.96,57.96,0.0,63.06,421.66,1016.94,818.11,77.07,0.002,3.59,0.24,0.41,51.18
2,닭꼬치,구이류,육류구이,70.0,g,176.72,13.35,3.15,8.57,1.9,0.2,0.0,11.56,35.31,2.07,60.85,0.0,0.0,0.0,0.23,0.18,1.71,0.0,0.0,17.68,122.8,286.91,152.66,0.0,0.008,0.0,0.0,0.0,0.0
3,더덕구이,구이류,채소류구이,100.0,g,184.0,31.1,11.6,5.2,2.3,0.4,0.0,3.1,58.1,6.8,481.44,0.0,5.36,1.34,0.23,0.08,0.18,16.77,0.0,46.42,88.17,743.37,262.44,38.21,0.001,0.59,0.13,0.42,0.0
4,도미구이,구이류,어패류구이,250.0,g,397.0,2.1,0.0,16.5,1.9,0.3,1.6,61.1,163.3,5.9,67.95,0.0,3.76,0.84,0.1,0.27,6.35,37.98,7.45,158.8,690.91,1582.17,1108.02,120.37,0.001,1.45,0.06,0.06,281.39
5,돼지갈비,구이류,육류구이,100.0,g,240.32,8.1,4.5,14.4,1.72,0.07,0.06,19.5,56.3,0.3,4.96,0.0,0.64,0.0,0.31,0.14,0.17,5.37,0.0,47.21,156.16,404.66,280.71,20.74,0.001,2.75,0.07,0.1,41.24
6,병어구이,구이류,어패류구이,250.0,g,488.0,0.2,0.0,30.8,2.0,0.3,3.4,54.6,157.7,0.7,60.74,0.0,3.73,1.41,0.12,0.21,4.38,38.25,7.73,80.44,627.82,1567.94,984.65,118.57,0.001,1.91,0.06,0.07,224.19
7,불고기,구이류,육류구이,150.0,g,395.29,7.8,7.9,25.2,3.11,0.08,0.01,34.4,80.1,1.2,29.1,0.0,2.81,0.0,0.08,0.24,2.26,10.23,0.0,12.31,300.71,560.71,580.55,36.22,0.004,9.74,2.06,0.1,49.08
8,붕장어소금구이,구이류,어패류구이,100.0,g,296.54,11.6,0.4,16.2,0.38,0.17,1.43,26.0,44.3,1.0,440.88,0.0,3.46,0.0,0.0,0.11,0.47,12.64,0.0,164.09,345.83,124.75,544.71,37.38,0.0,1.44,0.03,0.15,145.28
9,소양념갈비구이,구이류,육류구이,300.0,g,989.15,26.2,13.9,71.6,2.38,0.26,0.02,60.1,137.0,7.5,66.18,0.0,2.17,0.27,0.25,0.37,0.49,27.81,8.2,85.27,412.97,1378.45,632.12,59.1,0.006,19.04,0.23,0.22,127.75
10,양념왕갈비,구이류,육류구이,150.0,g,480.81,13.7,6.8,35.3,1.3,0.09,0.01,27.1,71.8,1.4,18.07,0.0,1.1,0.0,0.0,0.1,0.26,9.3,0.0,31.21,174.75,548.76,283.01,26.29,0.003,8.26,0.11,0.07,47.92
